InputID,TargetID,Distance
AN BURN G04 ,HT UNBURN C01 ,110494.234863937
AN BURN G04 ,HT UNBURN C02,110371.058220753
AN BURN G04 ,HT UNBURN G01 ,110753.666141573
AN BURN G04 ,HT UNBURN G02 ,110884.74595496
AN BURN G04 ,HT UNBURN O01 ,110431.673680626
AN BURN G04 ,HT UNBURN O02,110266.118221595
AN BURN G04 ,ML BURN G01 ,189899.237866232
AN BURN G04 ,ML BURN G02 ,189866.248231306
AN BURN G04 ,ML BURN O01 ,189802.12228367
AN BURN G04 ,ML BURN O02 ,189580.836329012
AN BURN G04 ,ML BURN O04 ,187112.481457207
AN BURN G04 ,ML BURN S01 ,189169.213731782
AN BURN G04 ,ML BURN S02 ,189118.114477307
AN BURN G04 ,ML UNBURN G04 ,190635.601385076
AN BURN G04 ,ML UNBURN G05 ,190713.733494508
AN BURN G04 ,ML UNBURN O04 ,190757.402093358
AN BURN G04 ,ML UNBURN O05 ,190699.305226627
AN BURN G04 ,ML UNBURN S01 ,189086.048022931
AN BURN G04 ,ML UNBURN S02 ,189064.894637694
AN BURN G04 ,QR BURN C01,147626.697989886
AN BURN G04 ,QR BURN C02 ,148148.397765799
AN BURN G04 ,QR BURN G01,147541.762536939
AN BURN G04 ,QR BURN G02 ,148062.496158719
AN BURN G04 ,QR BURN G03 ,149094.985803721
AN BURN G04 ,QR BURN G05,151786.789075427
AN BURN G04 ,QR BURN O01,147660.550860375
AN BURN G04 ,QR BURN O02 ,148187.437460845
AN BURN G04 ,QR BURN O03 ,149135.602053355
AN BURN G04 ,QR BURN O05,151766.041085637
AN BURN G05 ,AN BURN F01 ,2028.07626941601
AN BURN G05 ,AN BURN F02 ,2024.04542231785
AN BURN G05 ,AN BURN G04 ,567.592111760626
AN BURN G05 ,AN BURN S01 ,230.633471765688
AN BURN G05 ,AN BURN S02 ,160.794582341037
AN BURN G05 ,AN UNBURN F01 ,500.111251564625
AN BURN G05 ,AN UNBURN F02 ,618.465044105626
AN BURN G05 ,AN UNBURN G01 ,219.046728982482
AN BURN G05 ,AN UNBURN G03 ,150.915349637758
AN BURN G05 ,AN UNBURN S01 ,255.407513329404
AN BURN G05 ,AN UNBURN S02 ,554.57863740926
AN BURN G05 ,BC BURN G01 ,139985.385815396
AN BURN G05 ,BC BURN G02 ,140040.684661445
AN BURN G05 ,BC BURN G03 ,140008.991931424
AN BURN G05 ,BC BURN R01 ,138926.248543671
AN BURN G05 ,BC BURN R02 ,138980.905413682
AN BURN G05 ,BC BURN S01 ,138453.659891664
AN BURN G05 ,BC BURN S02 ,138659.905213036
AN BURN G05 ,BC UNBURN R01,136975.983620659
AN BURN G05 ,BC UNBURN R02   ,139276.567492891
AN BURN G05 ,BC UNBURN S01 ,139215.564051295
AN BURN G05 ,BC UNBURN S02 ,139162.03872414
AN BURN G05 ,BO BURN G01 ,58531.6889811068
AN BURN G05 ,BO BURN G02 ,58685.7345754258
AN BURN G05 ,BO BURN O01 ,59899.7948495012
AN BURN G05 ,BO BURN O02 ,59734.1860224043
AN BURN G05 ,BO BURN O03 ,59580.3323222036
AN BURN G05 ,BO BURN S01 ,59141.8567905289
AN BURN G05 ,BO BURN S02 ,59346.0890778751
AN BURN G05 ,BO BURN S03 ,59476.9946331684
AN BURN G05 ,BO UNBURN G01 ,58460.9314070421
AN BURN G05 ,BO UNBURN G02 ,58434.7708030978
AN BURN G05 ,BO UNBURN O01 ,58345.5031865287
AN BURN G05 ,BO UNBURN O02 ,59004.3244453022
AN BURN G05 ,BO UNBURN S01 ,57699.6055651819
AN BURN G05 ,BO UNBURN S02 ,57703.9320724559
AN BURN G05 ,BO UNBURN S03 ,57824.3612041887
AN BURN G05 ,HT BURN C01 ,110192.112458694
AN BURN G05 ,HT BURN C02,110060.402300727
AN BURN G05 ,HT BURN C03 ,110133.93352422
AN BURN G05 ,HT BURN G01 ,110000.533637509
AN BURN G05 ,HT BURN G02 ,110049.852216109
AN BURN G05 ,HT BURN G04 ,110242.150317613
AN BURN G05 ,HT BURN O01 ,109859.289691986
AN BURN G05 ,HT BURN O02 ,109612.612497661
AN BURN G05 ,HT BURN O03 ,109858.711924761
AN BURN G05 ,HT UNBURN C01 ,110695.709380319
AN BURN G05 ,HT UNBURN C02,110572.384522545
AN BURN G05 ,HT UNBURN G01 ,110954.872256689
AN BURN G05 ,HT UNBURN G02 ,111085.914539661
AN BURN G05 ,HT UNBURN O01 ,110635.990091165
AN BURN G05 ,HT UNBURN O02,110470.071290618
AN BURN G05 ,ML BURN G01 ,189420.208601007
AN BURN G05 ,ML BURN G02 ,189387.209722067
AN BURN G05 ,ML BURN O01 ,189323.197511042
AN BURN G05 ,ML BURN O02 ,189102.005926424
AN BURN G05 ,ML BURN O04 ,186623.625994738
AN BURN G05 ,ML BURN S01 ,188688.468444227
AN BURN G05 ,ML BURN S02 ,188637.186006795
AN BURN G05 ,ML UNBURN G04 ,190155.521731463
AN BURN G05 ,ML UNBURN G05 ,190233.706874299
AN BURN G05 ,ML UNBURN O04 ,190277.437588858
AN BURN G05 ,ML UNBURN O05 ,190219.402339466
AN BURN G05 ,ML UNBURN S01 ,188605.314369148
AN BURN G05 ,ML UNBURN S02 ,188583.941342113
AN BURN G05 ,QR BURN C01,147106.588463583
AN BURN G05 ,QR BURN C02 ,147629.073355401
AN BURN G05 ,QR BURN G01,147021.168884837
AN BURN G05 ,QR BURN G02 ,147542.316697645
AN BURN G05 ,QR BURN G03 ,148576.062783267
AN BURN G05 ,QR BURN G05,151268.139454147
AN BURN G05 ,QR BURN O01,147140.4657232
AN BURN G05 ,QR BURN O02 ,147668.109946541
AN BURN G05 ,QR BURN O03 ,148616.70637448
AN BURN G05 ,QR BURN O05,151247.796372168
AN BURN S01 ,AN BURN F01 ,1947.1337179088
AN BURN S01 ,AN BURN F02 ,1957.83755892424
AN BURN S01 ,AN BURN G04 ,339.999007456639
AN BURN S01 ,AN BURN G05 ,230.633471765688
AN BURN S01 ,AN BURN S02 ,391.343067369773
AN BURN S01 ,AN UNBURN F01 ,575.91708679391
AN BURN S01 ,AN UNBURN F02 ,670.694549229225
AN BURN S01 ,AN UNBURN G01 ,237.09697752519
AN BURN S01 ,AN UNBURN G03 ,262.232432539938
AN BURN S01 ,AN UNBURN S01 ,173.278292437671
AN BURN S01 ,AN UNBURN S02 ,604.936085891423
AN BURN S01 ,BC BURN G01 ,139841.561994663
AN BURN S01 ,BC BURN G02 ,139897.030678774
AN BURN S01 ,BC BURN G03 ,139865.613786629
AN BURN S01 ,BC BURN R01 ,138782.798507354
AN BURN S01 ,BC BURN R02 ,138837.608867837
AN BURN S01 ,BC BURN S01 ,138310.275548022
AN BURN S01 ,BC BURN S02 ,138516.468863239
AN BURN S01 ,BC UNBURN R01,136832.088029382
AN BURN S01 ,BC UNBURN R02   ,139132.853777551
AN BURN S01 ,BC UNBURN S01 ,139072.039641377
AN BURN S01 ,BC UNBURN S02 ,139018.36105012
AN BURN S01 ,BO BURN G01 ,58701.2412745624
AN BURN S01 ,BO BURN G02 ,58856.1929207283
